"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-105.72","75.38","REA POINT","2403450","2022-03-01 00:00","2022","03","01","00:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 01:00","2022","03","01","01:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 02:00","2022","03","01","02:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 03:00","2022","03","01","03:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 04:00","2022","03","01","04:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 05:00","2022","03","01","05:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 06:00","2022","03","01","06:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 07:00","2022","03","01","07:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 08:00","2022","03","01","08:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 09:00","2022","03","01","09:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 10:00","2022","03","01","10:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 11:00","2022","03","01","11:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 12:00","2022","03","01","12:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 13:00","2022","03","01","13:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 14:00","2022","03","01","14:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 15:00","2022","03","01","15:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 16:00","2022","03","01","16:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 17:00","2022","03","01","17:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 18:00","2022","03","01","18:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 19:00","2022","03","01","19:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 20:00","2022","03","01","20:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 21:00","2022","03","01","21:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 22:00","2022","03","01","22:00"
"-105.72","75.38","REA POINT","2403450","2022-03-01 23:00","2022","03","01","23:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 00:00","2022","03","02","00:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 01:00","2022","03","02","01:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 02:00","2022","03","02","02:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 03:00","2022","03","02","03:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 04:00","2022","03","02","04:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 05:00","2022","03","02","05:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 06:00","2022","03","02","06:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 07:00","2022","03","02","07:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 08:00","2022","03","02","08:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 09:00","2022","03","02","09:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 10:00","2022","03","02","10:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 11:00","2022","03","02","11:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 12:00","2022","03","02","12:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 13:00","2022","03","02","13:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 14:00","2022","03","02","14:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 15:00","2022","03","02","15:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 16:00","2022","03","02","16:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 17:00","2022","03","02","17:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 18:00","2022","03","02","18:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 19:00","2022","03","02","19:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 20:00","2022","03","02","20:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 21:00","2022","03","02","21:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 22:00","2022","03","02","22:00"
"-105.72","75.38","REA POINT","2403450","2022-03-02 23:00","2022","03","02","23:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 00:00","2022","03","03","00:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 01:00","2022","03","03","01:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 02:00","2022","03","03","02:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 03:00","2022","03","03","03:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 04:00","2022","03","03","04:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 05:00","2022","03","03","05:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 06:00","2022","03","03","06:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 07:00","2022","03","03","07:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 08:00","2022","03","03","08:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 09:00","2022","03","03","09:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 10:00","2022","03","03","10:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 11:00","2022","03","03","11:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 12:00","2022","03","03","12:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 13:00","2022","03","03","13:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 14:00","2022","03","03","14:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 15:00","2022","03","03","15:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 16:00","2022","03","03","16:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 17:00","2022","03","03","17:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 18:00","2022","03","03","18:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 19:00","2022","03","03","19:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 20:00","2022","03","03","20:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 21:00","2022","03","03","21:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 22:00","2022","03","03","22:00"
"-105.72","75.38","REA POINT","2403450","2022-03-03 23:00","2022","03","03","23:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 00:00","2022","03","04","00:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 01:00","2022","03","04","01:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 02:00","2022","03","04","02:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 03:00","2022","03","04","03:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 04:00","2022","03","04","04:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 05:00","2022","03","04","05:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 06:00","2022","03","04","06:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 07:00","2022","03","04","07:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 08:00","2022","03","04","08:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 09:00","2022","03","04","09:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 10:00","2022","03","04","10:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 11:00","2022","03","04","11:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 12:00","2022","03","04","12:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 13:00","2022","03","04","13:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 14:00","2022","03","04","14:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 15:00","2022","03","04","15:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 16:00","2022","03","04","16:00"
"-105.72","75.38","REA POINT","2403450","2022-03-04 17:00","2022","03","04","17:00"
