"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.11","44.74","WIARTON A","6119499","2021-01-29","2021","01","29","","-7.6","","-14.5","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","24","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-01-30","2021","01","30","","-3.3","","-20.3","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","23","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-01-31","2021","01","31","","-5.1","","-14.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","23","","8","","48",""
"-81.11","44.74","WIARTON A","6119499","2021-02-01","2021","02","01","","-4.3","","-10.7","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","22","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-02","2021","02","02","","-1.5","","-7.7","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","22","","36","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-02-03","2021","02","03","","0.0","","-11.9","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","21","","2","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-02-04","2021","02","04","","2.9","","-14.8","","-6.0","","24.0","","0.0","","0.0","","0.4","","0.4","","20","","17","","59",""
"-81.11","44.74","WIARTON A","6119499","2021-02-05","2021","02","05","","1.0","","-7.8","","-3.4","","21.4","","0.0","","0.0","","11.4","","10.4","","23","","23","","71",""
"-81.11","44.74","WIARTON A","6119499","2021-02-06","2021","02","06","","-6.2","","-9.1","","-7.7","","25.7","","0.0","","0.0","","6.0","","6.0","","31","","24","","58",""
"-81.11","44.74","WIARTON A","6119499","2021-02-07","2021","02","07","","-7.4","","-10.7","","-9.1","","27.1","","0.0","","0.0","","7.6","","7.6","","38","","28","","41",""
"-81.11","44.74","WIARTON A","6119499","2021-02-08","2021","02","08","","-9.5","","-11.3","","-10.4","","28.4","","0.0","","0.0","","3.4","","3.4","","40","","19","","42",""
"-81.11","44.74","WIARTON A","6119499","2021-02-09","2021","02","09","","-6.6","","-11.0","","-8.8","","26.8","","0.0","","0.0","","3.2","","2.6","","38","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-10","2021","02","10","","-6.8","","-9.7","","-8.3","","26.3","","0.0","","0.0","","3.2","","2.4","","37","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-11","2021","02","11","","-7.7","","-13.1","","-10.4","","28.4","","0.0","","0.0","","2.0","","1.4","","39","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-12","2021","02","12","","-11.4","","-18.3","","-14.9","","32.9","","0.0","","0.0","","0.4","","0.4","","38","","5","","32",""
"-81.11","44.74","WIARTON A","6119499","2021-02-13","2021","02","13","","-9.7","","-16.4","","-13.1","","31.1","","0.0","","0.0","","4.2","","3.2","","38","","8","","35",""
"-81.11","44.74","WIARTON A","6119499","2021-02-14","2021","02","14","","-5.2","","-22.8","","-14.0","","32.0","","0.0","","0.0","","1.6","","1.4","","40","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-15","2021","02","15","","-8.1","","-11.1","","-9.6","","27.6","","0.0","","0.0","","1.0","","0.6","","39","","6","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-02-16","2021","02","16","","-10.1","","-18.3","","-14.2","","32.2","","0.0","","0.0","","27.0","","23.2","","50","","4","","59",""
"-81.11","44.74","WIARTON A","6119499","2021-02-17","2021","02","17","","-5.2","","-15.9","","-10.6","","28.6","","0.0","","0.0","","1.2","","0.6","","53","","24","","32",""
"-81.11","44.74","WIARTON A","6119499","2021-02-18","2021","02","18","","-3.9","","-15.2","","-9.6","","27.6","","0.0","","0.0","","1.0","","0.4","","53","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-19","2021","02","19","","-2.6","","-16.6","","-9.6","","27.6","","0.0","","0.0","","1.0","","0.4","","53","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-20","2021","02","20","","-2.4","","-21.3","","-11.9","","29.9","","0.0","","0.0","","0.4","","0.4","","51","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-02-21","2021","02","21","","-1.9","","-7.9","","-4.9","","22.9","","0.0","","0.0","","0.0","T","0.0","T","48","","17","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-02-22","2021","02","22","","1.6","","-3.3","","-0.9","","18.9","","0.0","","0.0","","4.8","","4.8","","48","","21","","54",""
"-81.11","44.74","WIARTON A","6119499","2021-02-23","2021","02","23","","3.5","","-1.5","","1.0","","17.0","","0.0","","0.0","","2.6","","2.6","","43","","21","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-02-24","2021","02","24","","4.2","","-3.1","","0.6","","17.4","","0.0","","0.0","","0.8","","0.8","","40","","30","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-02-25","2021","02","25","","-1.5","","-9.2","","-5.4","","23.4","","0.0","","0.0","","0.2","","0.2","","38","","30","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-02-26","2021","02","26","","2.9","","-11.3","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","36","","21","","48",""
"-81.11","44.74","WIARTON A","6119499","2021-02-27","2021","02","27","","2.4","","-3.0","","-0.3","","18.3","","0.0","","0.2","","7.0","","5.2","","33","","22","","42",""
"-81.11","44.74","WIARTON A","6119499","2021-02-28","2021","02","28","","7.3","","-4.0","","1.7","","16.3","","0.0","","1.4","","0.0","","1.4","","34","","24","","59",""
"-81.11","44.74","WIARTON A","6119499","2021-03-01","2021","03","01","","1.2","","-12.8","","-5.8","","23.8","","0.0","","0.0","","1.0","","0.8","","27","","30","","74",""
"-81.11","44.74","WIARTON A","6119499","2021-03-02","2021","03","02","","1.2","","-16.2","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","27","","21","","55",""
"-81.11","44.74","WIARTON A","6119499","2021-03-03","2021","03","03","","4.4","","-1.9","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","25","","24","","48",""
"-81.11","44.74","WIARTON A","6119499","2021-03-04","2021","03","04","","-2.2","","-9.5","","-5.9","","23.9","","0.0","","0.0","","2.2","","1.6","","22","","36","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-03-05","2021","03","05","","","M","","M","","M","","M","","M","0.0","","1.0","","0.8","","22","","32","","59",""
"-81.11","44.74","WIARTON A","6119499","2021-03-06","2021","03","06","","","M","","M","","M","","M","","M","0.0","","2.0","","1.0","","22","","27","","41",""
"-81.11","44.74","WIARTON A","6119499","2021-03-07","2021","03","07","","-4.8","","-16.0","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","21","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-03-08","2021","03","08","","8.7","","-11.9","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","17","","23","","45",""
"-81.11","44.74","WIARTON A","6119499","2021-03-09","2021","03","09","","7.6","","-1.9","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-03-10","2021","03","10","","11.7","","3.1","","7.4","","10.6","","0.0","","0.0","","0.0","","0.0","","12","","18","","51",""
"-81.11","44.74","WIARTON A","6119499","2021-03-11","2021","03","11","","16.2","","1.0","","8.6","","9.4","","0.0","","0.0","T","0.0","","0.0","T","0","T","25","","99",""
"-81.11","44.74","WIARTON A","6119499","2021-03-12","2021","03","12","","4.5","","-6.3","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","31","","82",""
"-81.11","44.74","WIARTON A","6119499","2021-03-13","2021","03","13","","4.0","","-9.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","","22","","63",""
"-81.11","44.74","WIARTON A","6119499","2021-03-14","2021","03","14","","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","","","34","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-03-15","2021","03","15","","-2.2","","-8.4","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","3","","37",""
"-81.11","44.74","WIARTON A","6119499","2021-03-16","2021","03","16","","3.6","","-3.1","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","","","9","","36",""
"-81.11","44.74","WIARTON A","6119499","2021-03-17","2021","03","17","","4.8","","0.1","","2.5","","15.5","","0.0","","2.4","","0.2","","2.6","","","","23","","32",""
"-81.11","44.74","WIARTON A","6119499","2021-03-18","2021","03","18","","3.0","","-3.2","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","4","","57",""
"-81.11","44.74","WIARTON A","6119499","2021-03-19","2021","03","19","","3.5","","-4.9","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","","","5","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-03-20","2021","03","20","","9.1","","-1.6","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","","","23","","33",""
"-81.11","44.74","WIARTON A","6119499","2021-03-21","2021","03","21","","15.0","","0.3","","7.7","","10.3","","0.0","","0.0","","0.0","","0.0","","","","21","","34",""
"-81.11","44.74","WIARTON A","6119499","2021-03-22","2021","03","22","","18.4","","5.6","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","","","24","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-03-23","2021","03","23","","20.1","","3.6","","11.9","","6.1","","0.0","","0.0","","0.0","","0.0","","","","18","","35",""
"-81.11","44.74","WIARTON A","6119499","2021-03-24","2021","03","24","","20.1","","7.1","","13.6","","4.4","","0.0","","2.4","","0.0","","2.4","","","","23","","68",""
"-81.11","44.74","WIARTON A","6119499","2021-03-25","2021","03","25","","11.6","","2.2","","6.9","","11.1","","0.0","","0.0","","0.0","","0.0","","","","24","","49",""
"-81.11","44.74","WIARTON A","6119499","2021-03-26","2021","03","26","","3.6","","0.0","","1.8","","16.2","","0.0","","22.6","","0.0","","22.6","","","","36","","53",""
"-81.11","44.74","WIARTON A","6119499","2021-03-27","2021","03","27","","5.1","","0.4","","2.8","","15.2","","0.0","","3.2","","0.0","","3.2","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-03-28","2021","03","28","","9.6","","-0.6","","4.5","","13.5","","0.0","","9.6","","2.6","","12.2","","0","T","30","","62",""
"-81.11","44.74","WIARTON A","6119499","2021-03-29","2021","03","29","","3.9","","-4.1","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","T","20","","47",""
"-81.11","44.74","WIARTON A","6119499","2021-03-30","2021","03","30","","17.1","","3.5","","10.3","","7.7","","0.0","","2.4","","0.0","","2.4","","","","20","","67",""
"-81.11","44.74","WIARTON A","6119499","2021-03-31","2021","03","31","","11.2","","-2.0","","4.6","","13.4","","0.0","","2.4","","0.0","","2.4","","","","30","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-04-01","2021","04","01","","-0.9","","-6.6","","-3.8","","21.8","","0.0","","0.0","","3.2","","2.8","","3","","2","","45",""
"-81.11","44.74","WIARTON A","6119499","2021-04-02","2021","04","02","","1.8","","-4.2","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","0","T","36","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-04-03","2021","04","03","","10.8","","-4.0","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","21","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-04-04","2021","04","04","","12.0","","-4.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-05","2021","04","05","","13.9","","1.2","","7.6","","10.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-06","2021","04","06","","18.3","","0.6","","9.5","","8.5","","0.0","","9.6","","0.0","","9.6","","","","5","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-04-07","2021","04","07","","21.1","","2.8","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","","","14","","33",""
"-81.11","44.74","WIARTON A","6119499","2021-04-08","2021","04","08","","24.7","","6.1","","15.4","","2.6","","0.0","","0.0","","0.0","","0.0","","","","10","","40",""
"-81.11","44.74","WIARTON A","6119499","2021-04-09","2021","04","09","","21.9","","10.3","","16.1","","1.9","","0.0","","0.6","","0.0","","0.6","","","","18","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-04-10","2021","04","10","","19.2","","8.4","","13.8","","4.2","","0.0","","0.0","","0.0","","0.0","","","","16","","32",""
"-81.11","44.74","WIARTON A","6119499","2021-04-11","2021","04","11","","17.0","","8.5","","12.8","","5.2","","0.0","","11.8","","0.0","","11.8","","","","11","","36",""
"-81.11","44.74","WIARTON A","6119499","2021-04-12","2021","04","12","","12.4","","7.1","","9.8","","8.2","","0.0","","2.4","","0.0","","2.4","","","","8","","38",""
"-81.11","44.74","WIARTON A","6119499","2021-04-13","2021","04","13","","14.1","","2.7","","8.4","","9.6","","0.0","","0.8","","0.0","","0.8","","","","23","","35",""
"-81.11","44.74","WIARTON A","6119499","2021-04-14","2021","04","14","","11.5","","2.1","","6.8","","11.2","","0.0","","0.4","","0.0","T","0.4","","","","","","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-15","2021","04","15","","5.8","","1.9","","3.9","","14.1","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-16","2021","04","16","","5.2","","1.8","","3.5","","14.5","","0.0","","4.2","","0.0","T","4.2","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-17","2021","04","17","","10.2","","-0.4","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","","","27","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-04-18","2021","04","18","","7.5","","-0.6","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","28","","32",""
"-81.11","44.74","WIARTON A","6119499","2021-04-19","2021","04","19","","16.0","","-0.9","","7.6","","10.4","","0.0","","4.8","","0.0","","4.8","","","","18","","51",""
"-81.11","44.74","WIARTON A","6119499","2021-04-20","2021","04","20","","1.4","","-1.4","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","","","28","","49",""
"-81.11","44.74","WIARTON A","6119499","2021-04-21","2021","04","21","","0.7","","-2.8","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","","","27","","41",""
"-81.11","44.74","WIARTON A","6119499","2021-04-22","2021","04","22","","3.8","","-1.6","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","28","","41",""
"-81.11","44.74","WIARTON A","6119499","2021-04-23","2021","04","23","","14.2","","-2.6","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","","","23","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-04-24","2021","04","24","","15.4","","2.0","","8.7","","9.3","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-25","2021","04","25","","8.2","","-0.2","","4.0","","14.0","","0.0","","4.0","","0.0","T","4.0","","","","30","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-04-26","2021","04","26","","4.9","","-2.4","","1.3","","16.7","","0.0","","0.0","","1.2","","1.2","","","","11","","34",""
"-81.11","44.74","WIARTON A","6119499","2021-04-27","2021","04","27","","15.8","","2.9","","9.4","","8.6","","0.0","","2.4","","0.0","","2.4","","","","10","","34",""
"-81.11","44.74","WIARTON A","6119499","2021-04-28","2021","04","28","","10.3","","4.8","","7.6","","10.4","","0.0","","8.2","","0.0","","8.2","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-04-29","2021","04","29","","11.0","","5.2","","8.1","","9.9","","0.0","","0.4","","0.0","","0.4","","","","30","","44",""
"-81.11","44.74","WIARTON A","6119499","2021-04-30","2021","04","30","","7.3","","2.2","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","","","29","","65",""
"-81.11","44.74","WIARTON A","6119499","2021-05-01","2021","05","01","","13.1","","-2.6","","5.3","","12.7","","0.0","","0.6","","0.0","","0.6","","","","19","","50",""
"-81.11","44.74","WIARTON A","6119499","2021-05-02","2021","05","02","","15.2","","3.1","","9.2","","8.8","","0.0","","9.4","","0.0","T","9.4","","","","14","","38",""
"-81.11","44.74","WIARTON A","6119499","2021-05-03","2021","05","03","","11.2","","6.6","","8.9","","9.1","","0.0","","4.8","","0.0","","4.8","","","","10","","42",""
"-81.11","44.74","WIARTON A","6119499","2021-05-04","2021","05","04","","10.6","","4.5","","7.6","","10.4","","0.0","","5.8","","0.0","","5.8","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-05","2021","05","05","","8.6","","3.9","","6.3","","11.7","","0.0","","3.2","","0.0","","3.2","","","","28","","35",""
"-81.11","44.74","WIARTON A","6119499","2021-05-06","2021","05","06","","8.8","","-1.1","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","","","24","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-05-07","2021","05","07","","11.0","","2.7","","6.9","","11.1","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-08","2021","05","08","","10.3","","1.4","","5.9","","12.1","","0.0","","1.6","","0.0","","1.6","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-09","2021","05","09","","11.6","","-1.7","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-10","2021","05","10","","9.7","","-1.1","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","","","31","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-05-11","2021","05","11","","6.9","","3.1","","5.0","","13.0","","0.0","","0.2","","0.0","","0.2","","","","28","","46",""
"-81.11","44.74","WIARTON A","6119499","2021-05-12","2021","05","12","","14.4","","4.1","","9.3","","8.7","","0.0","","0.0","","0.0","","0.0","","","","28","","38",""
"-81.11","44.74","WIARTON A","6119499","2021-05-13","2021","05","13","","15.0","","1.3","","8.2","","9.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-14","2021","05","14","","19.4","","-0.2","","9.6","","8.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-15","2021","05","15","","20.4","","2.5","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-16","2021","05","16","","18.6","","5.9","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-17","2021","05","17","","21.4","","6.9","","14.2","","3.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-18","2021","05","18","","22.4","","9.4","","15.9","","2.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-19","2021","05","19","","25.6","","9.7","","17.7","","0.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-20","2021","05","20","","27.4","","16.3","","21.9","","0.0","","3.9","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-21","2021","05","21","","27.4","","19.5","","23.5","","0.0","","5.5","","0.0","","0.0","","0.0","","","","26","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-05-22","2021","05","22","","21.3","","14.8","","18.1","","0.0","","0.1","","0.4","","0.0","","0.4","","","","24","","36",""
"-81.11","44.74","WIARTON A","6119499","2021-05-23","2021","05","23","","15.5","","8.8","","12.2","","5.8","","0.0","","0.0","T","0.0","","0.0","T","","","5","","39",""
"-81.11","44.74","WIARTON A","6119499","2021-05-24","2021","05","24","","20.1","","6.8","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-25","2021","05","25","","27.4","","17.1","","22.3","","0.0","","4.3","","0.0","T","0.0","","0.0","T","","","25","","52",""
"-81.11","44.74","WIARTON A","6119499","2021-05-26","2021","05","26","","24.1","","6.2","","15.2","","2.8","","0.0","","8.6","","0.0","","8.6","","","","23","","62",""
"-81.11","44.74","WIARTON A","6119499","2021-05-27","2021","05","27","","9.7","","4.3","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","","","5","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-05-28","2021","05","28","","10.1","","2.6","","6.4","","11.6","","0.0","","1.0","","0.0","","1.0","","","","4","","42",""
"-81.11","44.74","WIARTON A","6119499","2021-05-29","2021","05","29","","15.2","","1.3","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","","","8","","37",""
"-81.11","44.74","WIARTON A","6119499","2021-05-30","2021","05","30","","18.5","","-0.3","","9.1","","8.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-05-31","2021","05","31","","19.5","","2.5","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-06-01","2021","06","01","","20.3","","7.4","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","21","","31",""
"-81.11","44.74","WIARTON A","6119499","2021-06-02","2021","06","02","","22.7","","5.8","","14.3","","3.7","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-81.11","44.74","WIARTON A","6119499","2021-06-03","2021","06","03","","21.8","","13.0","","17.4","","0.6","","0.0","","1.0","","0.0","","1.0","","","","","","","M"
