"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 00:00","2019","12","01","00:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 01:00","2019","12","01","01:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 02:00","2019","12","01","02:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 03:00","2019","12","01","03:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 04:00","2019","12","01","04:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 05:00","2019","12","01","05:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 06:00","2019","12","01","06:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 07:00","2019","12","01","07:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 08:00","2019","12","01","08:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 09:00","2019","12","01","09:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 10:00","2019","12","01","10:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 11:00","2019","12","01","11:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 12:00","2019","12","01","12:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 13:00","2019","12","01","13:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 14:00","2019","12","01","14:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 15:00","2019","12","01","15:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 16:00","2019","12","01","16:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 17:00","2019","12","01","17:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 18:00","2019","12","01","18:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 19:00","2019","12","01","19:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 20:00","2019","12","01","20:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 21:00","2019","12","01","21:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 22:00","2019","12","01","22:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-01 23:00","2019","12","01","23:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 00:00","2019","12","02","00:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 01:00","2019","12","02","01:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 02:00","2019","12","02","02:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 03:00","2019","12","02","03:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 04:00","2019","12","02","04:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 05:00","2019","12","02","05:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 06:00","2019","12","02","06:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 07:00","2019","12","02","07:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 08:00","2019","12","02","08:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 09:00","2019","12","02","09:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 10:00","2019","12","02","10:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 11:00","2019","12","02","11:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 12:00","2019","12","02","12:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 13:00","2019","12","02","13:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 14:00","2019","12","02","14:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 15:00","2019","12","02","15:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 16:00","2019","12","02","16:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 17:00","2019","12","02","17:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 18:00","2019","12","02","18:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 19:00","2019","12","02","19:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 20:00","2019","12","02","20:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 21:00","2019","12","02","21:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 22:00","2019","12","02","22:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-02 23:00","2019","12","02","23:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 00:00","2019","12","03","00:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 01:00","2019","12","03","01:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 02:00","2019","12","03","02:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 03:00","2019","12","03","03:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 04:00","2019","12","03","04:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 05:00","2019","12","03","05:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 06:00","2019","12","03","06:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 07:00","2019","12","03","07:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 08:00","2019","12","03","08:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 09:00","2019","12","03","09:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 10:00","2019","12","03","10:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 11:00","2019","12","03","11:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 12:00","2019","12","03","12:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 13:00","2019","12","03","13:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 14:00","2019","12","03","14:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 15:00","2019","12","03","15:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 16:00","2019","12","03","16:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 17:00","2019","12","03","17:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 18:00","2019","12","03","18:00"
"-96.57","50.70","VICTORIA BEACH (AUT)","5032951","2019-12-03 19:00","2019","12","03","19:00"
