"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 00:00","2023","06","01","00:00","22.6","","11.8","","50","","","","35","","8","","24.1","","99.89","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 01:00","2023","06","01","01:00","21.1","","12.0","","56","","","","3","","4","","24.1","","99.88","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 02:00","2023","06","01","02:00","21.2","","12.3","","56","","","","34","","7","","24.1","","99.87","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 03:00","2023","06","01","03:00","19.3","","12.3","","64","","","","35","","8","","24.1","","99.88","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 04:00","2023","06","01","04:00","20.0","","12.5","","61","","","","36","","1","","24.1","","99.91","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 05:00","2023","06","01","05:00","19.5","","11.9","","61","","","","32","","5","","24.1","","99.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 06:00","2023","06","01","06:00","20.2","","12.6","","61","","","","1","","6","","24.1","","99.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 07:00","2023","06","01","07:00","22.7","","13.3","","55","","","","31","","10","","24.1","","99.99","","26","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 08:00","2023","06","01","08:00","25.2","","13.6","","48","","","","36","","10","","24.1","","100.02","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 09:00","2023","06","01","09:00","27.2","","13.6","","43","","","","1","","10","","24.1","","100.02","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 10:00","2023","06","01","10:00","28.2","","13.8","","41","","","","1","","4","","24.1","","100.02","","31","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 11:00","2023","06","01","11:00","29.0","","14.6","","41","","","","14","","9","","24.1","","100.01","","33","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 12:00","2023","06","01","12:00","30.3","","13.5","","35","","","","16","","9","","24.1","","99.95","","33","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 13:00","2023","06","01","13:00","29.9","","12.7","","34","","","","14","","14","","24.1","","99.90","","33","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01 14:00","2023","06","01","14:00","30.6","","12.2","","32","","","","13","","12","","24.1","","99.85","","33","","","","NA"
