"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-01","2020","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-02","2020","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-03","2020","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-04","2020","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-05","2020","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-06","2020","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-07","2020","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-08","2020","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-09","2020","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-10","2020","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-11","2020","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-12","2020","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-13","2020","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-14","2020","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-15","2020","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-16","2020","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-17","2020","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-18","2020","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-19","2020","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-20","2020","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-21","2020","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-22","2020","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-23","2020","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-24","2020","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-25","2020","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-26","2020","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-27","2020","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-28","2020","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-29","2020","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-30","2020","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-01-31","2020","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-01","2020","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-02","2020","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-03","2020","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-04","2020","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-05","2020","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-06","2020","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-07","2020","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-08","2020","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-09","2020","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-10","2020","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-11","2020","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-12","2020","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-13","2020","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-14","2020","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-15","2020","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-16","2020","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-17","2020","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-18","2020","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-19","2020","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-20","2020","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-21","2020","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-22","2020","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-23","2020","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-24","2020","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-25","2020","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-26","2020","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-27","2020","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-28","2020","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-02-29","2020","02","29","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-01","2020","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-02","2020","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-03","2020","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-04","2020","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-05","2020","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-06","2020","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-07","2020","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-08","2020","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-09","2020","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-10","2020","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-11","2020","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-12","2020","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-13","2020","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-14","2020","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-15","2020","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-16","2020","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-17","2020","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-18","2020","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-19","2020","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-20","2020","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-21","2020","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-22","2020","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-23","2020","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-24","2020","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-25","2020","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-97.88","55.80","THOMPSON AIRPORT","5062918","2020-03-26","2020","03","26","","","","","","","","","","","","","","","","","","","","","","",""
