"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 00:00","2023","06","01","00:00","19.4","","13.1","","67","","","","21","","7","","24.1","","101.35","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 01:00","2023","06","01","01:00","19.8","","12.2","","61","","","","21","","12","","24.1","","101.34","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 02:00","2023","06","01","02:00","19.2","","12.6","","65","","","","22","","14","","24.1","","101.35","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 03:00","2023","06","01","03:00","17.4","","13.3","","76","","","","24","","10","","24.1","","101.36","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 04:00","2023","06","01","04:00","17.9","","13.2","","74","","","","23","","12","","24.1","","101.40","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 05:00","2023","06","01","05:00","18.0","","13.6","","75","","","","23","","9","","24.1","","101.41","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 06:00","2023","06","01","06:00","19.9","","13.6","","66","","","","21","","12","","24.1","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 07:00","2023","06","01","07:00","21.7","","14.1","","61","","","","21","","12","","48.3","","101.43","","25","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 08:00","2023","06","01","08:00","23.9","","14.0","","53","","","","21","","13","","24.1","","101.45","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 09:00","2023","06","01","09:00","25.9","","15.1","","51","","","","20","","12","","24.1","","101.43","","30","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 10:00","2023","06","01","10:00","27.9","","15.6","","47","","","","20","","13","","24.1","","101.42","","32","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 11:00","2023","06","01","11:00","29.6","","17.2","","47","","","","21","","10","","24.1","","101.40","","35","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 12:00","2023","06","01","12:00","30.7","","17.2","","44","","","","20","","12","","24.1","","101.33","","36","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 13:00","2023","06","01","13:00","32.3","","17.2","","40","","","","20","","14","","24.1","","101.23","","38","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 14:00","2023","06","01","14:00","33.8","","13.6","","29","","","","19","","15","","24.1","","101.16","","37","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 15:00","2023","06","01","15:00","33.9","","9.9","","22","","","","21","","15","","24.1","","101.10","","35","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 16:00","2023","06","01","16:00","34.0","","9.2","","21","","","","22","","15","","24.1","","101.06","","35","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 17:00","2023","06","01","17:00","33.6","","11.7","","26","","","","22","","10","","24.1","","101.05","","36","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 18:00","2023","06","01","18:00","26.4","","16.9","","55","","","","36","","39","","24.1","","101.21","","32","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 19:00","2023","06","01","19:00","24.3","","16.6","","61","","","","2","","32","","24.1","","101.20","","29","","","","Thunderstorms,Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-06-01 20:00","2023","06","01","20:00","24.3","","16.9","","63","","","","7","","7","","24.1","","101.10","","30","","","","NA"
