"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-61.68","56.55","NAIN A","8502810","2018-12-01 00:00","2018","12","01","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 01:00","2018","12","01","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 02:00","2018","12","01","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 03:00","2018","12","01","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 04:00","2018","12","01","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 05:00","2018","12","01","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 06:00","2018","12","01","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 07:00","2018","12","01","07:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 08:00","2018","12","01","08:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 09:00","2018","12","01","09:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 10:00","2018","12","01","10:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 11:00","2018","12","01","11:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 12:00","2018","12","01","12:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 13:00","2018","12","01","13:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 14:00","2018","12","01","14:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 15:00","2018","12","01","15:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 16:00","2018","12","01","16:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 17:00","2018","12","01","17:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 18:00","2018","12","01","18:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 19:00","2018","12","01","19:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 20:00","2018","12","01","20:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 21:00","2018","12","01","21:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 22:00","2018","12","01","22:00"
"-61.68","56.55","NAIN A","8502810","2018-12-01 23:00","2018","12","01","23:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 00:00","2018","12","02","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 01:00","2018","12","02","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 02:00","2018","12","02","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 03:00","2018","12","02","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 04:00","2018","12","02","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 05:00","2018","12","02","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 06:00","2018","12","02","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 07:00","2018","12","02","07:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 08:00","2018","12","02","08:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 09:00","2018","12","02","09:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 10:00","2018","12","02","10:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 11:00","2018","12","02","11:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 12:00","2018","12","02","12:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 13:00","2018","12","02","13:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 14:00","2018","12","02","14:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 15:00","2018","12","02","15:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 16:00","2018","12","02","16:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 17:00","2018","12","02","17:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 18:00","2018","12","02","18:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 19:00","2018","12","02","19:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 20:00","2018","12","02","20:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 21:00","2018","12","02","21:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 22:00","2018","12","02","22:00"
"-61.68","56.55","NAIN A","8502810","2018-12-02 23:00","2018","12","02","23:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 00:00","2018","12","03","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 01:00","2018","12","03","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 02:00","2018","12","03","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 03:00","2018","12","03","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 04:00","2018","12","03","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 05:00","2018","12","03","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 06:00","2018","12","03","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 07:00","2018","12","03","07:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 08:00","2018","12","03","08:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 09:00","2018","12","03","09:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 10:00","2018","12","03","10:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 11:00","2018","12","03","11:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 12:00","2018","12","03","12:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 13:00","2018","12","03","13:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 14:00","2018","12","03","14:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 15:00","2018","12","03","15:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 16:00","2018","12","03","16:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 17:00","2018","12","03","17:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 18:00","2018","12","03","18:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 19:00","2018","12","03","19:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 20:00","2018","12","03","20:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 21:00","2018","12","03","21:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 22:00","2018","12","03","22:00"
"-61.68","56.55","NAIN A","8502810","2018-12-03 23:00","2018","12","03","23:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 00:00","2018","12","04","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 01:00","2018","12","04","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 02:00","2018","12","04","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 03:00","2018","12","04","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 04:00","2018","12","04","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 05:00","2018","12","04","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 06:00","2018","12","04","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 07:00","2018","12","04","07:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 08:00","2018","12","04","08:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 09:00","2018","12","04","09:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 10:00","2018","12","04","10:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 11:00","2018","12","04","11:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 12:00","2018","12","04","12:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 13:00","2018","12","04","13:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 14:00","2018","12","04","14:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 15:00","2018","12","04","15:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 16:00","2018","12","04","16:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 17:00","2018","12","04","17:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 18:00","2018","12","04","18:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 19:00","2018","12","04","19:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 20:00","2018","12","04","20:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 21:00","2018","12","04","21:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 22:00","2018","12","04","22:00"
"-61.68","56.55","NAIN A","8502810","2018-12-04 23:00","2018","12","04","23:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 00:00","2018","12","05","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 01:00","2018","12","05","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 02:00","2018","12","05","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 03:00","2018","12","05","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 04:00","2018","12","05","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 05:00","2018","12","05","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 06:00","2018","12","05","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 07:00","2018","12","05","07:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 08:00","2018","12","05","08:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 09:00","2018","12","05","09:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 10:00","2018","12","05","10:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 11:00","2018","12","05","11:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 12:00","2018","12","05","12:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 13:00","2018","12","05","13:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 14:00","2018","12","05","14:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 15:00","2018","12","05","15:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 16:00","2018","12","05","16:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 17:00","2018","12","05","17:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 18:00","2018","12","05","18:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 19:00","2018","12","05","19:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 20:00","2018","12","05","20:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 21:00","2018","12","05","21:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 22:00","2018","12","05","22:00"
"-61.68","56.55","NAIN A","8502810","2018-12-05 23:00","2018","12","05","23:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 00:00","2018","12","06","00:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 01:00","2018","12","06","01:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 02:00","2018","12","06","02:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 03:00","2018","12","06","03:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 04:00","2018","12","06","04:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 05:00","2018","12","06","05:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 06:00","2018","12","06","06:00"
"-61.68","56.55","NAIN A","8502810","2018-12-06 07:00","2018","12","06","07:00"
