"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 00:00","2018","10","01","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 01:00","2018","10","01","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 02:00","2018","10","01","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 03:00","2018","10","01","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 04:00","2018","10","01","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 05:00","2018","10","01","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 06:00","2018","10","01","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 07:00","2018","10","01","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 08:00","2018","10","01","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 09:00","2018","10","01","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 10:00","2018","10","01","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 11:00","2018","10","01","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 12:00","2018","10","01","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 13:00","2018","10","01","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 14:00","2018","10","01","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 15:00","2018","10","01","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 16:00","2018","10","01","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 17:00","2018","10","01","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 18:00","2018","10","01","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 19:00","2018","10","01","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 20:00","2018","10","01","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 21:00","2018","10","01","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 22:00","2018","10","01","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-01 23:00","2018","10","01","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 00:00","2018","10","02","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 01:00","2018","10","02","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 02:00","2018","10","02","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 03:00","2018","10","02","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 04:00","2018","10","02","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 05:00","2018","10","02","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 06:00","2018","10","02","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 07:00","2018","10","02","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 08:00","2018","10","02","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 09:00","2018","10","02","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 10:00","2018","10","02","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 11:00","2018","10","02","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 12:00","2018","10","02","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 13:00","2018","10","02","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 14:00","2018","10","02","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 15:00","2018","10","02","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 16:00","2018","10","02","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 17:00","2018","10","02","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 18:00","2018","10","02","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 19:00","2018","10","02","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 20:00","2018","10","02","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 21:00","2018","10","02","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 22:00","2018","10","02","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-02 23:00","2018","10","02","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 00:00","2018","10","03","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 01:00","2018","10","03","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 02:00","2018","10","03","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 03:00","2018","10","03","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 04:00","2018","10","03","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 05:00","2018","10","03","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 06:00","2018","10","03","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 07:00","2018","10","03","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 08:00","2018","10","03","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 09:00","2018","10","03","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 10:00","2018","10","03","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 11:00","2018","10","03","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 12:00","2018","10","03","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 13:00","2018","10","03","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 14:00","2018","10","03","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 15:00","2018","10","03","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 16:00","2018","10","03","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 17:00","2018","10","03","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 18:00","2018","10","03","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 19:00","2018","10","03","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 20:00","2018","10","03","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 21:00","2018","10","03","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 22:00","2018","10","03","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-03 23:00","2018","10","03","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 00:00","2018","10","04","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 01:00","2018","10","04","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 02:00","2018","10","04","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 03:00","2018","10","04","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 04:00","2018","10","04","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 05:00","2018","10","04","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 06:00","2018","10","04","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 07:00","2018","10","04","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 08:00","2018","10","04","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 09:00","2018","10","04","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 10:00","2018","10","04","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 11:00","2018","10","04","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 12:00","2018","10","04","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 13:00","2018","10","04","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 14:00","2018","10","04","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 15:00","2018","10","04","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 16:00","2018","10","04","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 17:00","2018","10","04","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 18:00","2018","10","04","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 19:00","2018","10","04","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 20:00","2018","10","04","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 21:00","2018","10","04","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 22:00","2018","10","04","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-04 23:00","2018","10","04","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 00:00","2018","10","05","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 01:00","2018","10","05","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 02:00","2018","10","05","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 03:00","2018","10","05","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 04:00","2018","10","05","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 05:00","2018","10","05","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 06:00","2018","10","05","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 07:00","2018","10","05","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 08:00","2018","10","05","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 09:00","2018","10","05","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 10:00","2018","10","05","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 11:00","2018","10","05","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 12:00","2018","10","05","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 13:00","2018","10","05","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 14:00","2018","10","05","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 15:00","2018","10","05","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 16:00","2018","10","05","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 17:00","2018","10","05","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 18:00","2018","10","05","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 19:00","2018","10","05","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 20:00","2018","10","05","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 21:00","2018","10","05","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 22:00","2018","10","05","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-05 23:00","2018","10","05","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 00:00","2018","10","06","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 01:00","2018","10","06","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 02:00","2018","10","06","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 03:00","2018","10","06","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 04:00","2018","10","06","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 05:00","2018","10","06","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 06:00","2018","10","06","06:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 07:00","2018","10","06","07:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 08:00","2018","10","06","08:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 09:00","2018","10","06","09:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 10:00","2018","10","06","10:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 11:00","2018","10","06","11:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 12:00","2018","10","06","12:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 13:00","2018","10","06","13:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 14:00","2018","10","06","14:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 15:00","2018","10","06","15:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 16:00","2018","10","06","16:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 17:00","2018","10","06","17:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 18:00","2018","10","06","18:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 19:00","2018","10","06","19:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 20:00","2018","10","06","20:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 21:00","2018","10","06","21:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 22:00","2018","10","06","22:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-06 23:00","2018","10","06","23:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 00:00","2018","10","07","00:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 01:00","2018","10","07","01:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 02:00","2018","10","07","02:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 03:00","2018","10","07","03:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 04:00","2018","10","07","04:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 05:00","2018","10","07","05:00"
"-124.43","49.49","SISTERS ISLAND","1027403","2018-10-07 06:00","2018","10","07","06:00"
